period ending month (ignore the day),Net worth,Bank of America 1,HSBC Checking 2004,HSBC Checking 2014,Bank of America 2,HSBC Direct (1 or 2?),HSBC Direct 3,HSBC Direct 4,HSBC Direct 5,HSBC Direct 6,HSBC CD 1,HSBC CD 2,HSBC CD 3,HSBC Advance,Bank of America savings,529 College,401k Oracle (www.netbenefits.com),401k Apple (www.apple401k.com),401k Etouch (www.Standard.com),HSBC UK ISA,HSBC UK current,Barclays,Scottrade,Ameritrade,E-Trade,HSBC Credit Card,HSBC Select Credit,Bank of America Credit Card,My Fed Loan,sterling hsa,fidelity brokerage,Fastrak,total,Notable Income,Notable Expenses
1/1/2007,,115,,,,,,,,,,,,,"$3,949.00",,"$3,814.00",,,,,,,,,,,,,,,,"$7,763",,
2/1/2007,,37,,,,168,,,,,,,,,"$2,675.00",,,,,,,,,,,,,,,,,,"$2,843",,
3/1/2007,,35,,,,1654,,,,,,,,,$793.00,,,,,,,,,,,,,,,,,,"$2,447",,
4/1/2007,,386,,,,2249,,,,,,,,,"$1,282.00",,,,,,,,,,,,,,,,,,"$3,531",,
5/1/2007,,326,1019,,,2825,,,,,,,,,"$1,232.00",,,,,,,,,,,,,,,,,,"$4,057",,
6/1/2007,,364,93,,,4364,,,,,,,,,"$1,581.00",,,,,,,,,,,,,,,,,,"$5,945",,
7/1/2007,,180,93,,,4739,,,,,,,,,"$1,683.00",,"$5,051.00",,,,,,,,,,,,,,,,"$11,473",,
8/1/2007,,781,93,,,5113,,,,,,,,,$940.00,,,,,,,,,,,,,,,,,,"$6,053",,
9/1/2007,,22,93,,,5519,,,,,,,,,"$1,564.00",,,,,,,,,,,,,,,,,,"$7,083",,
10/1/2007,,79,93,,,6160,,,,,,,,,$477.00,,,,,,,,,,,,,,,,,,"$6,637",,
11/1/2007,,176,213,,,7793,,,,,,,,,$432.00,,,,,,,,,,,,,,,,,,"$8,225",,
12/1/2007,,130,207,,,8783,,,,,,,,,$514.00,,,,,,,,,,,,,,,,,,"$9,297",,
1/1/2008,,18,207,,216,9651,,,,,,,,,$484.00,,"$6,772.00",,,,,,,,,,,,,,,,"$16,907",,
2/1/2008,,47,512,,421,11303,,,,,,,,,$537.00,,,,,,,,,,,,,,,,,,"$11,840",,
3/1/2008,,1,416,,394,11437,,,,,,,,,$562.00,,,,,,,,,,,,,,,,,,"$11,999",,
4/1/2008,,0,164,,2246,14836,,,,,,,,,$587.00,,,,,,,,,,,,0,,,,,,"$15,423",,
5/1/2008,,59,119,,1771,10943,,,,,,,,,$612.00,,,,,,,,,,,,-27,,,,,,"$11,555",,
6/1/2008,,95,22,,1763,12815,,,,,,,,,$637.00,,,,,,,,,,,,-336,,,,,,"$13,452",,
7/1/2008,,77,345,,1259,13215,,,,,,,,,$652.00,,,,,,,,,,,,,,,,,,"$13,867",,
8/1/2008,,123,723,,3206,15408,,,,,,,,,$642.00,,,,,,,,,,,,,,,,,,"$16,050",,
9/1/2008,,45,965,,1465,17076,,,,,,,,,$667.00,,,,,,,,,,,,,,,,,,"$17,743",,
10/1/2008,,104,2942,,2320,12583,,,,,,,,,$682.00,"$2,004.00",,,,,,,,,,,,,,,,,"$15,269",,
11/1/2008,,238,1119,,2218,15674,,,,,,,,,$707.00,"$2,094.00",,,,,,,,,,,,,,,,,"$18,475",,
12/1/2008,,33,1181,,448,14412,,,,,,,,,$733.00,"$2,191.00",,,,,,,,,,-,,,,,,,"$17,336",,
1/1/2009,,339,815,,205,15262,,,,,,,,,$758.00,"$2,279.00",,,,,,,,,,-$107,,,,,,,"$18,299",,
2/1/2009,,458,1605,,393,12640,,,,,,,,,$783.00,"$2,366.00",,,,,,,,,,-$77,,,,,,,"$15,789",,
3/1/2009,,684,2122,,389,15062,,,,,,,,,$808.00,"$2,464.00",,,,,,,,,,-$149,,,,,,,"$18,334",,
4/1/2009,,650,2895,,1143,15123,,,,,,,,,$833.00,"$2,559.00",,,,,,,,,,-$883,,,,,,,"$18,515",,
5/1/2009,,599,3061,,1134,18149,,,,,,,,,$858.00,"$2,653.00",,,,,,,,,,-$870,,,,,,,"$21,660",,
